7109|2013-11-06 12:52:28|0
7110|2013-11-06 12:52:59|0
7111|2013-11-06 12:53:30|0
7112|2013-11-06 12:54:01|0
7113|2013-11-06 12:54:32|0
7114|2013-11-06 12:55:03|0
7115|2013-11-06 12:55:34|0
7116|2013-11-06 12:56:05|0
7117|2013-11-06 12:56:36|0
7118|2013-11-06 12:57:07|0
7119|2013-11-06 12:57:38|0
7120|2013-11-06 12:58:09|0
7121|2013-11-06 12:58:40|0
7122|2013-11-06 12:59:11|0
7123|2013-11-06 12:59:42|0
7124|2013-11-06 13:00:13|0
7125|2013-11-06 13:00:43|0
7126|2013-11-06 13:01:14|0
7127|2013-11-06 13:01:45|0
7128|2013-11-06 13:02:16|0
7129|2013-11-06 13:02:47|0
7130|2013-11-06 13:03:18|0
7131|2013-11-06 13:03:49|0
7132|2013-11-06 13:04:20|0
7133|2013-11-06 13:04:51|0
7134|2013-11-06 13:05:22|0
7135|2013-11-06 13:05:53|0
7136|2013-11-06 13:06:24|0
7137|2013-11-06 13:06:55|0
7138|2013-11-06 13:07:26|0
7139|2013-11-06 13:07:56|0
7140|2013-11-06 13:08:27|0
7141|2013-11-06 13:08:58|0
7142|2013-11-06 13:09:29|0
7143|2013-11-06 13:10:00|0
7144|2013-11-06 13:10:31|0
7145|2013-11-06 13:11:02|0
7146|2013-11-06 13:11:33|0
7147|2013-11-06 13:12:04|0
7148|2013-11-06 13:12:35|0
7149|2013-11-06 13:13:06|0
7150|2013-11-06 13:13:37|0
7151|2013-11-06 13:14:08|0
7152|2013-11-06 13:14:39|0
7153|2013-11-06 13:15:10|0
7154|2013-11-06 13:15:41|0
7155|2013-11-06 13:16:12|0
7156|2013-11-06 13:16:42|0
7157|2013-11-06 13:17:13|0
7158|2013-11-06 13:17:44|0
7159|2013-11-06 13:18:15|2
7160|2013-11-06 13:18:46|0
7161|2013-11-06 13:19:17|0
7162|2013-11-06 13:19:48|0
7163|2013-11-06 13:20:19|0
7164|2013-11-06 13:20:50|0
7165|2013-11-06 13:21:21|1
7166|2013-11-06 13:21:52|0
7167|2013-11-06 13:22:23|1
7168|2013-11-06 13:22:54|3
7169|2013-11-06 13:23:24|0
7170|2013-11-06 13:23:56|1
7171|2013-11-06 13:24:27|1
7172|2013-11-06 13:24:57|1
7173|2013-11-06 13:25:28|0
7174|2013-11-06 13:25:59|3
7175|2013-11-06 13:26:30|1
